#
# r1	  r2	    r3        r4	r5	cv3	cv4	 cv5	  c3	    c4	     c5	      push
11917476 26105064 15599928 20172204 34769004 27612576 24521520 21407808 63532056 63574668 63646464 14177124
11584764 26086476 14528172 16876608 29649780 23357808 20986488 21796128 68627832 64507260 63909192 14613648
11991420 26069892 15212376 17269212 29717148 23346936 20948652 21689664 63841860 63998712 63916152 14608308
12747456 26723472 15477600 17643996 29881824 34899192 27421668 68276028 88278480 93753612 80518500 19269852
12676644 26618556 14793312 16811580 30613128 23754372 21955476 22407276 68963508 64373916 64034976 15431112
12649452 26783808 15486228 17693892 33582396 23720532 21797028 22377228 66244404 65968308 65449644 14443416
11858520 26362008 14846064 17888532 29833884 32714856 33399012 28632576 84358800 63622908 63777516 14257740
17743236 33694296 19174428 23337936 37954836 28996704 26166312 22061880 63446520 65462484 63713508 13878600
11549460 26000436 14537472 16903668 29286408 22985220 20686404 21301152 63125556 63630612 63500232 14191332
15425208 32925096 18652440 21331824 29948124 23734500 22957236 32889360 97696392 80605392 68161752 14902884
11779356 26321784 14749788 17089764 29896800 23268504 20790360 21591168 63721332 64442412 68872236 14753016
11633904 26079756 14840448 16865988 30045084 23183604 20912544 28775652 63427908 64250328 64278552 14552880
11918172 26665752 14866512 17664744 30415704 23861688 20469288 28376172 82006440 98573436 79628664 14931012
12358884 26497356 15230856 16732668 30211152 22721664 20601108 21473004 63248868 63335388 63571032 14262624
12738924 26509404 16177308 16958364 29371644 23266764 20772792 21833844 65204952 65604732 64322856 14627172
12025200 26172360 14900280 16907760 29353296 23220156 20801784 21684612 64039092 63598848 64528236 14580240
14386464 32549244 19484532 23011188 36900804 29955504 26833680 37015224 83003256 65276028 65085288 14214888
12638484 27105756 14525964 16711308 30113604 23150964 20556720 21410328 63336672 63569892 63466644 14184972
11559588 25992192 14595468 16933524 28905552 23095608 20570208 21485844 68615364 63567132 63425688 14164584
11903244 25707576 14671224 16909044 29081052 22978452 23572680 26677536 79078764 71992068 63652464 14168964
11896044 25841376 14530128 16868136 29087532 22822116 20547096 21505404 65214060 63609180 63370956 14332788



